sec,nsec,frame_id,F_x,F_y,F_z,T_x,T_y,T_z
0,0,1,4.75966673787652,5.80095828119755,6.42811365092929,7.0067445905942,7.23441267128513,8.16064943388165
0,20000000,3,4.90340891750847,5.67918942838832,6.43787957396161,6.99545274208808,7.42179631946776,7.76940214239937
0,30000000,4,4.85396893215735,5.35325174718467,6.50563066499832,6.64510025330363,7.67418439283425,8.06207464827418
0,50000000,6,4.66872157963805,5.77166051210059,6.31275368511002,6.95547349467452,7.25058748130741,8.15240943632313
0,60000000,7,5.00411999877926,5.67796868800928,6.2633136997589,6.60573137607959,7.39432966093936,7.76848658711509
0,90000000,10,4.85488448744163,5.35935544907987,6.13238929410688,7.00552385021516,7.32169560838649,8.14447462385937
0,100000000,11,4.85274819177831,5.74449903866695,6.24469740897855,6.79250465407269,7.54661702322459,7.96807763908811
0,110000000,12,4.93881038850063,5.34775841547899,6.44764549699393,7.08212530899991,7.49229407635731,8.08221686452834
0,130000000,14,4.69588305307169,5.35782952360607,6.01550340281381,7.1233252967925,7.18314157536546,7.67815179906613
0,140000000,15,4.91775261696219,5.74205755790887,6.28681295205542,6.65028839991455,7.26889858699301,7.87987914670247
0,210000000,22,4.91012298959319,5.63097018341624,5.99169896542253,7.04367198706015,7.4153874324778,8.00714133121738
0,230000000,24,4.89547410504471,5.49760429700613,6.41285439619129,6.70796838282418,7.52189703054903,7.79229102450636
0,240000000,25,5.08011108737449,5.56749168370617,5.99810785241249,6.90847499008148,7.56492812891018,8.12067018646809
0,250000000,26,5.04715109714042,5.36851100192267,6.03167821283609,6.59840693380535,7.34733115634632,7.66502883999145
0,260000000,27,5.15396588030641,5.72985015411847,6.03717154454176,6.84377574999237,7.5670644245735,8.25373088778344
0,270000000,28,5.11490218817713,5.58030945768609,6.24073000274667,6.84011352885525,7.67418439283425,8.2189397869808
0,280000000,29,4.97146519363994,5.37736136967071,6.24591814935759,6.87520981475265,7.62260811181982,7.91619617297891
0,300000000,31,5.02182073427534,5.80706198309275,5.94958342234565,6.84072389904477,7.39738151188696,8.13653981139561
0,310000000,32,4.89791558580279,5.82750938444166,6.47419660023804,7.05008087405011,7.32535782952361,7.89300210577715
0,320000000,33,4.75173192541276,5.50370799890133,6.43757438886685,6.60023804437391,7.6311532944731,7.80053102206488
0,340000000,35,4.69557786797693,5.29984435560167,6.41285439619129,6.7101046784875,7.47734000671407,8.14081240272225
0,350000000,36,4.94247260963775,5.53514206366161,5.96057008575701,7.09219641712699,7.22739341410565,7.8179265724662
0,370000000,38,4.59242530594806,5.50889614551225,6.09149449140904,7.1370586260567,7.6601458784753,8.23664052247688
0,390000000,40,4.73067415387432,5.84887234107486,6.38386181218909,6.65181432538835,7.61009552293466,7.94244209112827
0,400000000,41,4.74929044465468,5.3926206244087,6.40003662221137,6.65669728690451,7.18070009460738,7.97448652607807
0,410000000,42,4.90035706656087,5.68712424085208,6.22425000762963,6.7452009643849,7.71568956572161,8.24884792626728
0,430000000,44,4.59730826746422,5.58885464033937,6.11590929898984,6.61793877986999,7.29361857966857,8.2494582964568
0,440000000,45,4.84481337931455,5.74083681752983,6.15527817621387,6.61183507797479,7.31681264687033,8.07702871791742
0,450000000,46,4.78560747093112,5.50279244361705,6.35639515366069,7.16360972930082,7.28171636097293,8.19849238563189
0,470000000,48,5.06820886867885,5.85406048768578,6.12628559221168,6.58009582811976,7.51823480941191,7.69127475814081
0,480000000,49,4.92294076357311,5.81408124027223,6.15924558244575,6.81539353617969,7.71935178685873,7.96746726889859
0,490000000,50,4.63972899563585,5.86962492751854,6.17877742851039,7.12210455641346,7.46208075197607,7.79595324564348
0,500000000,51,4.78072450941496,5.39780877101962,6.12109744560076,6.70369579149754,7.25302896206549,7.8637043366802
0,510000000,52,4.7300637836848,5.84154789880062,6.25293740653706,6.63655507065035,7.64549699392682,7.70897549363689
0,520000000,53,4.70931119724113,5.32944730979339,6.08142338328196,6.6994232001709,7.26615192114017,7.78313547166356
0,530000000,54,4.86709189123203,5.60655537583544,6.44032105471969,7.05771050141911,7.59849848933378,7.95556505020295
0,540000000,55,4.68276009399701,5.48387096774194,6.53736991485336,7.00735496078372,7.26950895718253,8.18170720542009
0,550000000,56,4.78530228583636,5.60594500564592,6.44672994170965,6.89260536515397,7.1919919431135,8.16187017426069
0,560000000,57,4.8063600573748,5.67064424573504,6.29505294961394,6.87215796380505,7.6540421765801,7.77611621448408
0,570000000,58,4.67116306039613,5.30167546617023,6.28223517563402,7.13309121982482,7.54387035737175,7.7996154667806
0,580000000,59,4.99374370555742,5.78814050721763,6.25598925748466,6.85567796868801,7.54478591265603,7.91650135807367
